Borough,District,DBN,Address,Coordinates,xcoordinate,ycoordinate,Admissions_Policy,ELA_2018_2019,Math_2018_2019,Zone_Retention_Rate_2020_2021,Zone_Enrollment_Rate_2020_2021,Building_Code,School_Type,Grades_from_LCGMS,Org_Capacity_2018_2019,K_2017_2018,First_2017_2018,Second_2017_2018,Third_2017_2018,Fourth_2017_2018,Fifth_2017_2018,Sixth_2017_2018,Seventh_2017_2018,Eighth_2017_2018,Total_2017_2018,Percent_of_Capacity_2017_2018,K_2018_2019,First_2018_2019,Second_2018_2019,Third_2018_2019,Fourth_2018_2019,Fifth_2018_2019,Sixth_2018_2019,Seventh_2018_2019,Eighth_2018_2019,Total_2018_2019,Percent_of_Capacity_2018_2019,K_2019_2020,First_2019_2020,Second_2019_2020,Third_2019_2020,Fourth_2019_2020,Fifth_2019_2020,Sixth_2019_2020,Seventh_2019_2020,Eighth_2019_2020,Total_2019_2020,Percent_of_Capacity_2019_2020,K_2020_2021,First_2020_2021,Second_2020_2021,Third_2020_2021,Fourth_2020_2021,Fifth_2020_2021,Sixth_2020_2021,Seventh_2020_2021,Eighth_2020_2021,Total_2020_2021,Percent_of_Capacity_2020_2021
Queens,25,25Q020,"142-30 Barclay Avenue, Queens, NY 11355","40.75841370226242, -73.82317602952483",40.7584137,73.82317603,Zoned,0.51,0.67,0.66,0.7,Q020,K-5,"PK,0K,01,02,03,04,05,SE",1146,225,190,189,185,228,241,0,0,0,1258,1.10,218,226,172,182,194,220,0,0,0,1212,1.06,165,210,211,164,187,185,0,0,0,1122,0.98,175,163,210,201,169,177,0,0,0,1095,0.96
Queens,25,25Q021,"147-36 26 Avenue, Queens, NY 11354","40.774428874902156, -73.81775038534822",40.77442887,-73.81775039,Zoned,0.63,0.67,0.79,0.84,Q021,K-5,"PK,0K,01,02,03,04,05,SE",976,209,199,222,225,248,213,0,0,0,1316,1.35,194,221,199,232,238,254,0,0,0,1338,1.37,185,196,218,197,236,226,0,0,0,1258,1.29,199,189,203,215,200,239,0,0,0,1245,1.28
Queens,25,25Q022,"153-33 Sanford Avenue, Queens, NY 11355","40.760879082257745, -73.81119827924148",40.76087908,-73.81119828,Zoned,0.65,0.77,0.7,0.99,Q022,K-5,"PK,0K,01,02,03,04,05,SE",616,147,140,151,126,144,148,0,0,0,856,1.39,153,155,145,151,129,152,0,0,0,885,1.44,145,154,153,148,147,132,0,0,0,879,1.43,139,139,152,135,144,137,0,0,0,846,1.37
Queens,25,25Q024,"45-57 Union Street, Queens, NY 11355","40.75213660256487, -73.81823872341799",40.7521366,73.81823872,Zoned,0.63,0.83,0.69,0.97,Q024,K-5,"PK,0K,01,02,03,04,05,SE",1111,128,141,165,159,216,181,0,0,0,990,0.89,129,140,150,163,200,210,0,0,0,992,0.89,154,152,153,151,197,203,0,0,0,1010,0.91,154,172,165,160,187,193,0,0,0,1031,0.93
Queens,25,25Q025,"34-65 192 Street, Queens, NY 11358","40.765246527801665, -73.78915106205352",40.76524653,-73.78915106,Zoned,0.66,0.64,0.62,0.86,Q025,6-8,"06,07,08,SE",922,0,0,0,0,0,0,341,318,298,957,1.04,0,0,0,0,0,0,353,346,329,1028,1.11,0,0,0,0,0,0,347,357,349,1053,1.14,0,0,0,0,0,0,335,358,373,1066,1.16
Queens,25,25Q029,"125-10 23 Avenue, Queens, NY 11356","40.77838843893715, -73.84246176574685",40.77838844,73.84246177,Zoned,0.54,0.57,0.82,0.88,Q029,K-5,"PK,0K,01,02,03,04,05,SE",592,100,113,123,105,127,113,0,0,0,681,1.15,118,102,115,119,111,127,0,0,0,692,1.17,106,115,102,114,116,114,0,0,0,667,1.13,121,113,120,104,104,118,0,0,0,680,1.15
Queens,25,25Q032,"171-11 35 Avenue, Queens, NY 11358","40.765388049571655, -73.79372838904189",40.76538805,-73.79372839,Zoned,0.68,0.7,0.79,0.8,Q032,K-5,"0K,01,02,03,04,05,SE",598,169,156,160,141,156,157,0,0,0,939,1.57,163,176,157,159,142,150,0,0,0,947,1.58,173,159,174,154,164,135,0,0,0,959,1.6,176,170,153,172,153,167,0,0,0,991,1.66
Queens,25,25Q079,"147-27 15 Drive, Queens, NY 11357","40.78608875349547, -73.81675901603002",40.78608875,73.81675902,Zoned,0.74,0.74,0.77,0.84,Q079,K-5,"PK,0K,01,02,03,04,05,SE",775,144,177,186,186,186,180,0,0,0,1059,1.37,179,172,172,188,192,197,0,0,0,1100,1.42,145,171,176,179,191,190,0,0,0,1052,1.36,151,174,179,178,186,189,0,0,0,1057,1.36
Queens,25,25Q107,"167-02 45 Avenue, Queens, NY 11358","40.755712702710426, -73.79885796390053",40.7557127,-73.79885796,Zoned,0.57,0.61,0.74,0.89,Q107,K-5,"PK,0K,01,02,03,04,05,SE",989,147,143,139,151,162,149,0,0,0,891,0.90,179,140,139,135,157,148,0,0,0,898,0.91,150,151,136,134,137,162,0,0,0,870,0.88,168,138,153,132,140,133,0,0,0,864,0.87
Queens,25,25Q120,"58-01 136 Street, Queens, NY 11355","40.74557607450329, -73.82852761177071",40.74557607,73.82852761,Zoned,0.53,0.69,0.6,0.93,Q120,K-5,"PK,0K,01,02,03,04,05,SE",761,168,151,159,172,207,166,0,0,0,1023,1.34,178,161,132,150,173,186,0,0,0,980,1.29,150,167,143,131,168,163,0,0,0,922,1.21,124,136,144,138,145,172,0,0,0,859,1.13
